	CONCEPT	LANGUAGE	IPA
896	stone 	Liuxiang Jiongnai	ʑa44
897	stone 	Xiaozhai Younuo	vi̯e33
898	stone 	Huangluo Younuo	vey33
899	stone 	Northern Pa-Hng	yo35
900	stone 	Southern Pa-Hng	yo35
901	stone 	Hm-Nai	yo35
902	sun 	Western Xiangxi	n̥e1
903	sun 	Eastern Xiangxi	n̥ʰe53
904	sun 	Qiandong	n̥ʰɛ1
905	sun 	Chuanqiandian	n̥o1
906	sun 	Diandongbei	n̥u1
907	sun 	Hmong Daw	n̥u1
908	sun 	Hmong Njua	nu1
909	sun 	Bunu	n̥ɔŋ1
910	sun 	Baonao	n̥ɒ1
911	sun 	Numao	ŋkau1
912	sun 	Longhua Jiongnai	ntoŋ22
913	sun 	Liuxiang Jiongnai	ntoŋ21
914	sun 	Xiaozhai Younuo	nɔ33
915	sun 	Huangluo Younuo	nɔ33
916	sun 	Northern Pa-Hng	n̥ei35
917	sun 	Southern Pa-Hng	n̥ei35
918	sun 	Hm-Nai	n̥e35
919	tail 	Western Xiangxi	tɤ3
920	tail 	Eastern Xiangxi	ta33
921	tail 	Qiandong	tɛ3
922	tail 	Chuanqiandian	du3
923	tail 	Diandongbei	caɯ4
924	tail 	Hmong Daw	tɨ4
925	tail 	Hmong Njua	tʉ2
926	tail 	Bunu	tau3
927	tail 	Baonao	cǝ3
928	tail 	Numao	töy3
929	tail 	Longhua Jiongnai	ðau53
930	tail 	Liuxiang Jiongnai	lɔ35
931	tail 	Xiaozhai Younuo	te22
932	tail 	Huangluo Younuo	te22
933	tail 	Northern Pa-Hng	tai22
934	tail 	Southern Pa-Hng	tɤ31
935	tail 	Hm-Nai	tei13
936	that1	Western Xiangxi	ä3
937	that1	Eastern Xiangxi	ɛ55
938	that1	Qiandong	i3
939	that1	Chuanqiandian	ʔi3
940	that1	Diandongbei	tʰao5
941	that1	Hmong Daw	ndəw8
942	that1	Hmong Njua	ndaʉ7
943	that1	Bunu	uŋ1
944	that1	Baonao	ɔ1
945	that1	Numao	yi4
946	that1	Longhua Jiongnai	mi44
947	that1	Liuxiang Jiongnai	mi44
948	that1	Xiaozhai Younuo	ni31
949	that1	Huangluo Younuo	ni22
950	that1	Northern Pa-Hng	ŋ̩55
951	that1	Southern Pa-Hng	ŋ̩55
952	that1	Hm-Nai	wo55
953	this 	Western Xiangxi	nen3
954	this 	Eastern Xiangxi	ne55
955	this 	Qiandong	noŋ3
956	this 	Chuanqiandian	na3
957	this 	Diandongbei	ni3
958	this 	Hmong Daw	nɔ4
959	this 	Hmong Njua	nu̯a2
960	this 	Bunu	nɔŋ3
961	this 	Baonao	naə3
962	this 	Numao	ney3
963	this 	Longhua Jiongnai	ne53
964	this 	Liuxiang Jiongnai	ni35
965	this 	Xiaozhai Younuo	no22
966	this 	Huangluo Younuo	no22
967	this 	Northern Pa-Hng	ŋ̩22
968	this 	Southern Pa-Hng	ŋ̩31
969	this 	Hm-Nai	ne13
970	thou 	Western Xiangxi	mɯ2
971	thou 	Eastern Xiangxi	mu31
972	thou 	Qiandong	moŋ2
973	thou 	Chuanqiandian	ne2
974	thou 	Diandongbei	ɕü6
975	thou 	Hmong Daw	kɔ2
976	thou 	Hmong Njua	kao5
977	thou 	Bunu	kau2
978	thou 	Baonao	kə2
979	thou 	Numao	köy2
980	thou 	Longhua Jiongnai	maŋ33
981	thou 	Liuxiang Jiongnai	məŋ31
982	thou 	Xiaozhai Younuo	ŋ̩13
983	thou 	Huangluo Younuo	ŋ̩13
984	thou 	Northern Pa-Hng	mu33
985	thou 	Southern Pa-Hng	mɦʉ33
986	thou 	Hm-Nai	m̩31
987	tongue 	Western Xiangxi	mi̯a4
988	tongue 	Eastern Xiangxi	mi̯a35
989	tongue 	Qiandong	ni8
990	tongue 	Chuanqiandian	bla6
991	tongue 	Diandongbei	nƛay4
992	tongue 	Hmong Daw	mblay6
993	tongue 	Hmong Njua	mblay6
994	tongue 	Bunu	nƛa8
995	tongue 	Baonao	nƛi̯a8
996	tongue 	Numao	nƛi̯ey8
997	tongue 	Longhua Jiongnai	mpli32
998	tongue 	Liuxiang Jiongnai	mpli32
999	tongue 	Xiaozhai Younuo	mi31
1000	tongue 	Huangluo Younuo	mi31
1001	tongue 	Northern Pa-Hng	ni̯ei31
1002	tongue 	Southern Pa-Hng	mpɦı31
1003	tongue 	Hm-Nai	ntʰei31
1004	tooth 	Western Xiangxi	ʆɛ̃3
1005	tooth 	Eastern Xiangxi	sɛ55
1006	tooth 	Qiandong	m̥ʰi3
1007	tooth 	Chuanqiandian	na3
1008	tooth 	Diandongbei	n̥ie3
1009	tooth 	Hmong Daw	n̥i̯a3
1010	tooth 	Hmong Njua	na2
1011	tooth 	Bunu	m̥iŋ3
1012	tooth 	Baonao	m̥ay3
1013	tooth 	Numao	m̥ɑy3
1014	tooth 	Longhua Jiongnai	m̥ay53
1015	tooth 	Liuxiang Jiongnai	m̥ɛ35
1016	tooth 	Xiaozhai Younuo	fun22
1017	tooth 	Huangluo Younuo	fun22
1018	tooth 	Northern Pa-Hng	ɲ̥i22
1019	tooth 	Southern Pa-Hng	m̥ı31
1020	tooth 	Hm-Nai	m̥iŋ13
1021	tree 	Western Xiangxi	ntu5
1022	tree 	Eastern Xiangxi	dɔ31
1023	tree 	Qiandong	təu5
1024	tree 	Chuanqiandian	ntoŋ5
1025	tree 	Diandongbei	ntao5
1026	tree 	Hmong Daw	ndõ4
1027	tree 	Hmong Njua	ndoŋ3
1028	tree 	Bunu	ntaŋ5
1029	tree 	Baonao	ntɔŋ5
1030	tree 	Numao	ntou5
1031	tree 	Longhua Jiongnai	ntɔuŋ35
1032	tree 	Liuxiang Jiongnai	ntaŋ22
1033	tree 	Xiaozhai Younuo	fɔ33
1034	tree 	Huangluo Younuo	fɔ33
1035	tree 	Northern Pa-Hng	ti̯a35
1036	tree 	Southern Pa-Hng	pi̯a35
1037	tree 	Hm-Nai	ca35
1038	two 	Western Xiangxi	ɯ1
1039	two 	Eastern Xiangxi	ʋ53
1040	two 	Qiandong	o1
1041	two 	Chuanqiandian	ʔao1
1042	two 	Diandongbei	a1
1043	two 	Hmong Daw	o1
1044	two 	Hmong Njua	ʔao1
1045	two 	Bunu	au1
1046	two 	Baonao	uɔ1
1047	two 	Numao	öy1
1048	two 	Longhua Jiongnai	u44
1049	two 	Liuxiang Jiongnai	u44
1050	two 	Xiaozhai Younuo	u33
1051	two 	Huangluo Younuo	u33
1052	two 	Northern Pa-Hng	va35
1053	two 	Southern Pa-Hng	va35
1054	two 	Hm-Nai	wa53
1055	walk (go) 	Western Xiangxi	moŋ4
1056	walk (go) 	Eastern Xiangxi	maŋ33
1057	walk (go) 	Qiandong	moŋ4
1058	walk (go) 	Chuanqiandian	moŋ4
1059	walk (go) 	Diandongbei	mao4
1060	walk (go) 	Hmong Daw	mu5
1061	walk (go) 	Hmong Njua	moŋ6
1062	walk (go) 	Bunu	muŋ4
1063	walk (go) 	Baonao	mu4
1064	walk (go) 	Numao	muŋ4
1065	walk (go) 	Longhua Jiongnai	ŋ̥ŋ31
1066	walk (go) 	Liuxiang Jiongnai	ŋ̥ŋ53
1067	walk (go) 	Xiaozhai Younuo	ŋ̩22
1068	walk (go) 	Huangluo Younuo	ŋ̩22
1069	walk (go) 	Northern Pa-Hng	ɲi33
1070	walk (go) 	Southern Pa-Hng	ɲɦı33
1071	walk (go) 	Hm-Nai	m̩33
1072	water 	Western Xiangxi	u1
1073	water 	Eastern Xiangxi	ʋ53
1074	water 	Qiandong	əu1
1075	water 	Chuanqiandian	tle2
1076	water 	Diandongbei	ao1
1077	water 	Hmong Daw	ʼde2
1078	water 	Hmong Njua	ƛe5
1079	water 	Bunu	aŋ1
1080	water 	Baonao	ɔŋ1
1081	water 	Numao	ou1
1082	water 	Longhua Jiongnai	ɔuŋ44
1083	water 	Liuxiang Jiongnai	aŋ44
1084	water 	Xiaozhai Younuo	ŋ̩33
1085	water 	Huangluo Younuo	ŋ̩33
1086	water 	Northern Pa-Hng	aŋ35
1087	water 	Southern Pa-Hng	ɔ̃35
1088	water 	Hm-Nai	aŋ35
1089	we 	Western Xiangxi	pɯ1
1090	we 	Eastern Xiangxi	pʋ53
1091	we 	Qiandong	pi1
1092	we 	Chuanqiandian	pe1
1093	we 	Diandongbei	pi1
1094	we 	Hmong Daw	pe1
1095	we 	Hmong Njua	pe1
1096	we 	Bunu	pe1
1097	we 	Baonao	pey1
1098	we 	Numao	pɑ1
1099	we 	Longhua Jiongnai	pa44
1100	we 	Liuxiang Jiongnai	pa44
1101	we 	Xiaozhai Younuo	pou33
1102	we 	Huangluo Younuo	pou33
1103	we 	Northern Pa-Hng	pu35
1104	we 	Southern Pa-Hng	pʉ35
1105	we 	Hm-Nai	waŋ22
1106	white 	Western Xiangxi	qu̯ɤ1
1107	white 	Eastern Xiangxi	qwa53
1108	white 	Qiandong	ɬu1
1109	white 	Chuanqiandian	tleu1
1110	white 	Diandongbei	ƛoey1
1111	white 	Hmong Daw	ʼdəw1
1112	white 	Hmong Njua	ƛaʉ1
1113	white 	Bunu	ƛo1
1114	white 	Baonao	ƛou1
1115	white 	Numao	ƛi̯o1
1116	white 	Longhua Jiongnai	klau44
1117	white 	Liuxiang Jiongnai	klɔ44
1118	white 	Xiaozhai Younuo	ki̯e33
1119	white 	Huangluo Younuo	ki̯u33
1120	white 	Northern Pa-Hng	kɔ35
1121	white 	Southern Pa-Hng	kwɔ35
1122	white 	Hm-Nai	kwau35
1123	who 	Western Xiangxi	le1
1124	who 	Eastern Xiangxi	pɛ55
1125	who 	Qiandong	ʃi3
1126	who 	Chuanqiandian	ʔi5
1127	who 	Diandongbei	tɨ4
1128	who 	Hmong Daw	tɨ6
1129	who 	Hmong Njua	tʉ6
1130	who 	Bunu	tau6
1131	who 	Baonao	sey6
1132	who 	Numao	yi3
1133	who 	Longhua Jiongnai	n̥a53
1134	who 	Liuxiang Jiongnai	n̥a35 
1135	who 	Xiaozhai Younuo	a53-nɔ13
1136	who 	Huangluo Younuo	kə33-lou13
1137	who 	Northern Pa-Hng	ti31-lɛ33
1138	who 	Southern Pa-Hng	ti44-lɦɛ̃33
1139	who 	Hm-Nai	ti35-nai33
1140	woman 	Western Xiangxi	mpʰa3
1141	woman 	Eastern Xiangxi	pʰa35
1142	woman 	Qiandong	a3
1143	woman 	Chuanqiandian	po2
1144	woman 	Diandongbei	po2
1145	woman 	Hmong Daw	pɔ2
1146	woman 	Hmong Njua	pu5
1147	woman 	Bunu	po3
1148	woman 	Baonao	ɕey1
1149	woman 	Numao	nu2
1150	woman 	Longhua Jiongnai	vɔ43
1151	woman 	Liuxiang Jiongnai	wɔ43
1152	woman 	Xiaozhai Younuo	tuŋ33
1153	woman 	Huangluo Younuo	tou33
1154	woman 	Northern Pa-Hng	tʰei53
1155	woman 	Southern Pa-Hng	mɛ̃53
1156	woman 	Hm-Nai	pʰi̯ei53
1157	yellow 	Western Xiangxi	qu̯en2
1158	yellow 	Eastern Xiangxi	gwɛ31
1159	yellow 	Qiandong	faŋ2
1160	yellow 	Chuanqiandian	tlaŋ2
1161	yellow 	Diandongbei	vaɯ2
1162	yellow 	Hmong Daw	ʼda2
1163	yellow 	Hmong Njua	ƛaŋ5
1164	yellow 	Bunu	kwen2
1165	yellow 	Baonao	kwa2
1166	yellow 	Numao	kuɑn2
1167	yellow 	Longhua Jiongnai	kwen33
1168	yellow 	Liuxiang Jiongnai	kwan31
1169	yellow 	Xiaozhai Younuo	kwən13
1170	yellow 	Huangluo Younuo	kwən13
1171	yellow 	Northern Pa-Hng	kwei33
1172	yellow 	Southern Pa-Hng	kɦwɤ33
1173	yellow 	Hm-Nai	kwei33
1174	far 	Western Xiangxi	qɯ1
1175	far 	Eastern Xiangxi	qu53
1176	far 	Qiandong	to4
1177	far 	Chuanqiandian	tle1
1178	far 	Diandongbei	ƛi1
1179	far 	Hmong Daw	ʼde1
1180	far 	Hmong Njua	ƛe1
1181	far 	Bunu	kwe1
1182	far 	Baonao	kwey1
1183	far 	Numao	kuɑ1
1184	far 	Longhua Jiongnai	kwa44
1185	far 	Liuxiang Jiongnai	kwa44
1186	far 	Xiaozhai Younuo	ki̯e33
1187	far 	Huangluo Younuo	ki̯u33
1188	far 	Northern Pa-Hng	ko35
1189	far 	Southern Pa-Hng	ko35
1190	far 	Hm-Nai	ko35
1191	heavy 	Western Xiangxi	xen3
1192	heavy 	Eastern Xiangxi	ɲ̥ʰe55
1193	heavy 	Qiandong	n̥ʰioŋ3
1194	heavy 	Chuanqiandian	ɲaŋ3
1195	heavy 	Diandongbei	n̥iaɯ3
1196	heavy 	Hmong Daw	ɲ̥a3
1197	heavy 	Hmong Njua	ɲaŋ2
1198	heavy 	Bunu	ɲ̥ɔŋ3 
1199	heavy 	Baonao	ɲ̥ɒ5
1200	heavy 	Numao	ɣɤ1
1201	heavy 	Longhua Jiongnai	ɲ̥e53
1202	heavy 	Liuxiang Jiongnai	ɲ̥i35
1203	heavy 	Xiaozhai Younuo	suŋ22
1204	heavy 	Huangluo Younuo	sou22
1205	heavy 	Northern Pa-Hng	ɲ̥a22
1206	heavy 	Southern Pa-Hng	ɲ̥a31
1207	heavy 	Hm-Nai	n̥a13
1208	near 	Western Xiangxi	ʐɯ5
1209	near 	Eastern Xiangxi	yu31
1210	near 	Qiandong	ɣi5
1211	near 	Chuanqiandian	ʐe4
1212	near 	Diandongbei	və5
1213	near 	Hmong Daw	že4
1214	near 	Hmong Njua	že3
1215	near 	Bunu	ɣe5
1216	near 	Baonao	ɣey5
1217	near 	Numao	ɣey5
1218	near 	Longhua Jiongnai	ŋki̯a35
1219	near 	Liuxiang Jiongnai	ʑa22
1220	near 	Xiaozhai Younuo	vi̯e35
1221	near 	Huangluo Younuo	vay53
1222	near 	Northern Pa-Hng	yo55
1223	near 	Southern Pa-Hng	yo55
1224	near 	Hm-Nai	yo55
1225	salt 	Western Xiangxi	ɲɕɯ3
1226	salt 	Eastern Xiangxi	ʒʋ55
1227	salt 	Qiandong	ʃi3
1228	salt 	Chuanqiandian	ɳc̢e3
1229	salt 	Diandongbei	ɳc̢ə3
1230	salt 	Hmong Daw	nǯe3
1231	salt 	Hmong Njua	ɲǯe2
1232	salt 	Bunu	nce3
1233	salt 	Baonao	ncey3
1234	salt 	Numao	nci̯ey3
1235	salt 	Longhua Jiongnai	nča53
1236	salt 	Liuxiang Jiongnai	ntθa35
1237	salt 	Xiaozhai Younuo	ʑau22
1238	salt 	Huangluo Younuo	ʑau22
1239	salt 	Northern Pa-Hng	ɲo22
1240	salt 	Southern Pa-Hng	ɲɕo31
1241	salt 	Hm-Nai	ɲɕo13
1242	short 	Western Xiangxi	le3
1243	short 	Eastern Xiangxi	li55
1244	short 	Qiandong	lɛ3
1245	short 	Chuanqiandian	lo5
1246	short 	Diandongbei	lu8
1247	short 	Hmong Daw	lu3
1248	short 	Hmong Njua	lu3
1249	short 	Bunu	luŋ3
1250	short 	Baonao	lɔ3
1251	short 	Numao	luŋ3
1252	short 	Longhua Jiongnai	laŋ53
1253	short 	Liuxiang Jiongnai	lã35
1254	short 	Xiaozhai Younuo	luŋ22
1255	short 	Huangluo Younuo	lou22
1256	short 	Northern Pa-Hng	laŋ22
1257	short 	Southern Pa-Hng	lɔ̃31
1258	short 	Hm-Nai	laŋ13
1259	snake 	Western Xiangxi	nen1
1260	snake 	Eastern Xiangxi	nɛ53
1261	snake 	Qiandong	naŋ1
1262	snake 	Chuanqiandian	naŋ1
1263	snake 	Diandongbei	naɯ1
1264	snake 	Hmong Daw	na1
1265	snake 	Hmong Njua	naŋ1
1266	snake 	Bunu	nəŋ1
1267	snake 	Baonao	nɒ1
1268	snake 	Numao	nɑn1
1269	snake 	Longhua Jiongnai	nen44
1270	snake 	Liuxiang Jiongnai	nan44
1271	snake 	Xiaozhai Younuo	ni33
1272	snake 	Huangluo Younuo	ni33
1273	snake 	Northern Pa-Hng	neŋ35
1274	snake 	Southern Pa-Hng	nẽ35
1275	snake 	Hm-Nai	nɯŋ35
1276	wind 	Western Xiangxi	ki5
1277	wind 	Eastern Xiangxi	ɕi31
1278	wind 	Qiandong	ɕen5
1279	wind 	Chuanqiandian	ɕua5
1280	wind 	Diandongbei	ɕa5
1281	wind 	Hmong Daw	ɕu̯ǝ4
1282	wind 	Hmong Njua	ɕu̯a3
1283	wind 	Bunu	ɕi5
1284	wind 	Baonao	ɕi5
1285	wind 	Numao	ɕi5
1286	wind 	Longhua Jiongnai	či35
1287	wind 	Liuxiang Jiongnai	či22
1288	wind 	Xiaozhai Younuo	ki35
1289	wind 	Huangluo Younuo	ki53
1290	wind 	Northern Pa-Hng	ɕi55
1291	wind 	Southern Pa-Hng	ɕi55
1292	wind 	Hm-Nai	ɕi55
1293	worm 	Western Xiangxi	kin1
1294	worm 	Eastern Xiangxi	ɕi53
1295	worm 	Qiandong	kaŋ1
1296	worm 	Chuanqiandian	kaŋ1
1297	worm 	Diandongbei	kaɯ1
1298	worm 	Hmong Daw	 ɕu̯ǝ4
1299	worm 	Hmong Njua	kaŋ4
1300	worm 	Bunu	ɕɔŋ1
1301	worm 	Baonao	ŋi̯a5
1302	worm 	Numao	ŋkɑu4
1303	worm 	Longhua Jiongnai	ʑaŋ44
1304	worm 	Liuxiang Jiongnai	ʑaŋ44
1305	worm 	Xiaozhai Younuo	ki̯aŋ33
1306	worm 	Huangluo Younuo	ki̯aŋ33
1307	worm 	Northern Pa-Hng	yoŋ35
1308	worm 	Southern Pa-Hng	yõ35
1309	worm 	Hm-Nai	ɕuŋ35
1310	year 	Western Xiangxi	ɕu5
1311	year 	Eastern Xiangxi	cɔ31
1312	year 	Qiandong	n̥ʰiu5
1313	year 	Chuanqiandian	ʆoŋ5
1314	year 	Diandongbei	ʆao7
1315	year 	Hmong Daw	ʆõ4
1316	year 	Hmong Njua	ʆoŋ3
1317	year 	Bunu	saŋ5
1318	year 	Baonao	sɔŋ5
1319	year 	Numao	ci̯ou5
1320	year 	Longhua Jiongnai	ɲ̥ɔuŋ35
1321	year 	Liuxiang Jiongnai	ɲ̥ɔ22
1322	year 	Xiaozhai Younuo	ti̯uŋ35
1323	year 	Huangluo Younuo	ti̯uŋ53
1324	year 	Northern Pa-Hng	ɕaŋ55
1325	year 	Southern Pa-Hng	ɕɔ̃55
1326	year 	Hm-Nai	ɕuŋ55
